date,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA30,GPRD_MA7,event
2014-01-01,112.1636962890625,178.90951538085938,37.30704879760742,74.5870361328125,93.45347595214844,
2014-01-02,82.12977600097656,90.97441101074219,68.2934799194336,74.59297943115234,90.21085357666016,
2014-01-03,117.95494079589844,97.99321746826172,130.7776336669922,75.21488952636719,90.62024688720703,
2014-01-04,32.2652702331543,57.18391799926758,17.886388778686523,74.805419921875,82.93804168701172,
2014-01-05,65.5233154296875,101.6114273071289,36.32312774658203,75.32552337646484,85.77128601074219,
2014-01-06,103.51773834228516,137.5988006591797,65.58342742919922,77.29113006591797,90.75178527832031,
2014-01-07,91.53147888183594,165.11856079101562,21.746082305908203,77.60277557373047,86.44088745117188,
2014-01-08,93.82888793945312,154.54446411132812,47.4914436340332,78.53374481201172,83.8216323852539,
2014-01-09,61.47032928466797,74.8991470336914,51.114501953125,78.5455093383789,80.87027740478516,
2014-01-10,96.66303253173828,96.36549377441406,92.7442398071289,79.51686096191406,77.82858276367188,
2014-01-11,42.08343505859375,47.94731521606445,39.992794036865234,78.9984359741211,79.23117065429688,
2014-01-12,7.06304407119751,14.08260726928711,11.746285438537598,77.72644805908203,70.87970733642578,
2014-01-13,108.96604919433594,121.66630554199219,101.4817123413086,79.52909088134766,71.65803527832031,
2014-01-14,91.65206909179688,78.31710052490234,101.61541748046875,81.45973205566406,71.67526245117188,
2014-01-15,87.80299377441406,79.57521057128906,86.2856674194336,83.00434112548828,70.81442260742188,
2014-01-16,60.78105545043945,47.12864303588867,61.772769927978516,81.16356658935547,70.71595764160156,
2014-01-17,64.95230865478516,76.17926788330078,76.2492446899414,79.56910705566406,66.18585205078125,
2014-01-18,63.125152587890625,59.93414306640625,59.989192962646484,79.42899322509766,69.19181060791016,
2014-01-19,81.51732635498047,103.42996978759766,61.62200927734375,78.60717010498047,79.82814025878906,
2014-01-20,85.71331787109375,110.58168029785156,50.310569763183594,79.32569122314453,76.50631713867188,
2014-01-21,125.08997344970703,129.32363891601562,100.16377258300781,81.12584686279297,81.28315734863281,
2014-01-22,81.95154571533203,77.39933013916016,71.73186492919922,82.27513122558594,80.4472427368164,
2014-01-23,61.2178840637207,54.2484016418457,67.8727798461914,81.79090118408203,80.5096435546875,
2014-01-24,106.38368225097656,73.14222717285156,122.01567840576172,82.24530029296875,86.42841339111328,
2014-01-25,62.09123992919922,74.28014373779297,61.956974029541016,80.82073211669922,86.28070831298828,
2014-01-26,91.62421417236328,84.31585693359375,93.77033996582031,80.03856658935547,87.72454833984375,
2014-01-27,105.46525573730469,143.3735809326172,71.75263214111328,80.68605041503906,90.54625701904297,
2014-01-28,64.61444854736328,42.94371032714844,78.80245208740234,81.31684875488281,81.90689849853516,
2014-01-29,66.80148315429688,47.00884246826172,78.42003631591797,81.25508880615234,79.74259948730469,
2014-01-30,45.55594253540039,32.439796447753906,59.527584075927734,78.7166976928711,77.50518035888672,
2014-01-31,75.71583557128906,37.74138641357422,94.44012451171875,77.50177001953125,73.12406158447266,
2014-02-01,36.704349517822266,18.295684814453125,45.781227111816406,75.98758697509766,69.49736022949219,
2014-02-02,65.66764068603516,87.28734588623047,60.6718864440918,74.24467468261719,65.78927612304688,
2014-02-03,156.57630920410156,87.8030776977539,187.15977478027344,78.38837432861328,73.09085845947266,
2014-02-04,51.89400863647461,86.22379302978516,28.767663955688477,77.93406677246094,71.27365112304688,
2014-02-05,91.35379028320312,87.11290740966797,85.87181854248047,77.52860260009766,74.7811279296875,
2014-02-06,43.71916961669922,26.821290969848633,61.52191162109375,75.93486022949219,74.51873016357422,
2014-02-07,60.6419677734375,52.89839553833008,63.032127380371094,74.82862854003906,72.36531829833984,
2014-02-08,43.261146545410156,36.96684265136719,41.111995697021484,74.2216567993164,73.302001953125,
2014-02-09,71.87030792236328,78.16263580322266,76.06124877929688,73.39523315429688,74.18810272216797,
2014-02-10,55.363250732421875,73.59044647216797,30.69084930419922,73.837890625,59.72909164428711,
2014-02-11,77.70220184326172,81.54003143310547,68.01244354248047,76.1925277709961,63.415977478027344,
2014-02-12,59.721771240234375,31.753570556640625,72.83544158935547,74.55105590820312,58.897117614746094,
2014-02-13,68.08977508544922,61.09217071533203,62.280662536621094,73.7656478881836,62.378631591796875,
2014-02-14,61.67979049682617,50.638771057128906,66.37358093261719,72.8948745727539,62.526893615722656,
2014-02-15,68.51533508300781,59.39516830444336,69.3580093383789,73.15267944335938,66.13463592529297,
2014-02-16,50.76731872558594,37.958290100097656,63.32192611694336,72.67984771728516,63.11991882324219,
2014-02-17,84.3966293334961,63.102638244628906,87.72305297851562,73.38890075683594,67.26754760742188,
2014-02-18,95.13902282714844,86.22379302978516,93.49490356445312,73.84295654296875,69.7585220336914,
2014-02-19,85.04147338867188,56.51980209350586,94.28619384765625,73.820556640625,73.37561798095703,
2014-02-20,115.87171173095703,81.54003143310547,153.02798461914062,73.5132827758789,80.20161437988281,
2014-02-21,116.56026458740234,74.96870422363281,156.3282470703125,74.66690826416016,88.04167938232422,
2014-02-22,28.930723190307617,11.53666877746582,38.490882873535156,73.59066772460938,82.38673400878906,
2014-02-23,38.51823043823242,51.199554443359375,42.70548629760742,71.32848358154297,80.6368637084961,
2014-02-24,69.3731460571289,77.80455780029297,50.47520065307617,71.57122039794922,78.49065399169922,
2014-02-25,61.5718879699707,90.02747344970703,40.959163665771484,70.56947326660156,73.69535064697266,
2014-02-26,71.66613006591797,39.69196319580078,86.0782470703125,69.44283294677734,71.78458404541016,
